linux_git_commit,linux_git_tag,file,function,path_id,error_line,candidate_type,severity,condition,exit_type,target_label,error_source_expr,held_resources,cleanup_calls,missing_cleanup_candidates,final_return_expr,evidence,reason
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/btrfs/block-group.c,btrfs_remove_block_group,btrfs_remove_block_group#001,1121,missing_cleanup,P3,unlikely(!block_group),return,,unknown,"[{""var"": ""block_group"", ""acquire_func"": ""btrfs_lookup_block_group"", ""resource_type"": ""btrfs_block_group_ref"", ""release_functions"": [""btrfs_put_block_group""], ""acquire_line"": 1120, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}]","[""btrfs_abort_transaction(trans, -ENOENT)""]","[""btrfs_put_block_group(block_group)""]",-ENOENT,"{""acquired_resources"": [{""var"": ""block_group"", ""acquire_func"": ""btrfs_lookup_block_group"", ""resource_type"": ""btrfs_block_group_ref"", ""release_functions"": [""btrfs_put_block_group""], ""acquire_line"": 1120, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}], ""missing_releases"": [""btrfs_put_block_group(block_group)""], ""cleanup_calls"": [""btrfs_abort_transaction(trans, -ENOENT)""], ""final_return_expr"": ""-ENOENT""}",error path exits while resource acquired before error path has no matching release in cleanup.
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/btrfs/dev-replace.c,btrfs_init_dev_replace,btrfs_init_dev_replace#003,95,error_swallowed,P1,ret,return,,"btrfs_search_slot(NULL, dev_root, &key, path, 0, 0)","[{""var"": ""path"", ""acquire_func"": ""btrfs_alloc_path"", ""resource_type"": ""btrfs_path"", ""release_functions"": [""btrfs_free_path""], ""acquire_line"": 87, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": ""btrfs_free_path"", ""scope_cleanup_decl_line"": 79}]","[""unlikely(btrfs_find_device(fs_info->fs_devices, &args))"", ""btrfs_err(fs_info, \""found replace target device without a valid replace item\"")"", ""atomic64_set(&dev_replace->num_write_errors, 0)"", ""atomic64_set(&dev_replace->num_uncorrectable_read_errors, 0)""]",[],0,"{""acquired_resources"": [{""var"": ""path"", ""acquire_func"": ""btrfs_alloc_path"", ""resource_type"": ""btrfs_path"", ""release_functions"": [""btrfs_free_path""], ""acquire_line"": 87, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": ""btrfs_free_path"", ""scope_cleanup_decl_line"": 79}], ""missing_releases"": [], ""cleanup_calls"": [""unlikely(btrfs_find_device(fs_info->fs_devices, &args))"", ""btrfs_err(fs_info, \""found replace target device without a valid replace item\"")"", ""atomic64_set(&dev_replace->num_write_errors, 0)"", ""atomic64_set(&dev_replace->num_uncorrectable_read_errors, 0)""], ""final_return_expr"": ""0""}",error-like condition is followed by successful return expression.
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/btrfs/extent-tree.c,unpin_extent_range,unpin_extent_range#001,2850,missing_cleanup,P3,unlikely(cache == NULL),return,,unknown,"[{""var"": ""cache"", ""acquire_func"": ""btrfs_lookup_block_group"", ""resource_type"": ""btrfs_block_group_ref"", ""release_functions"": [""btrfs_put_block_group""], ""acquire_line"": 2849, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}]",[],"[""btrfs_put_block_group(cache)""]",-EUCLEAN,"{""acquired_resources"": [{""var"": ""cache"", ""acquire_func"": ""btrfs_lookup_block_group"", ""resource_type"": ""btrfs_block_group_ref"", ""release_functions"": [""btrfs_put_block_group""], ""acquire_line"": 2849, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}], ""missing_releases"": [""btrfs_put_block_group(cache)""], ""cleanup_calls"": [], ""final_return_expr"": ""-EUCLEAN""}",error path exits while resource acquired before error path has no matching release in cleanup.
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/btrfs/extent-tree.c,btrfs_free_tree_block,btrfs_free_tree_block#004,3659,error_swallowed,P1,!ret,return,,"check_ref_cleanup(trans, buf->start)",[],[],[],0,"{""acquired_resources"": [], ""missing_releases"": [], ""cleanup_calls"": [], ""final_return_expr"": ""0""}",error-like condition is followed by successful return expression.
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/btrfs/extent-tree.c,do_walk_down,do_walk_down#006,5969,missing_cleanup,P3,ret,return,,"check_next_block_uptodate(trans, root, path, wc, next)","[{""var"": ""next"", ""acquire_func"": ""btrfs_tree_lock"", ""resource_type"": ""btrfs_tree_lock"", ""release_functions"": [""btrfs_tree_unlock""], ""acquire_line"": 5936, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}]",[],"[""btrfs_tree_unlock(next)""]",ret,"{""acquired_resources"": [{""var"": ""next"", ""acquire_func"": ""btrfs_tree_lock"", ""resource_type"": ""btrfs_tree_lock"", ""release_functions"": [""btrfs_tree_unlock""], ""acquire_line"": 5936, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}], ""missing_releases"": [""btrfs_tree_unlock(next)""], ""cleanup_calls"": [], ""final_return_expr"": ""ret""}",error path exits while resource acquired before error path has no matching release in cleanup.
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/btrfs/extent_io.c,extent_writepage,extent_writepage#004,1890,error_swallowed,P1,ret == 1,return,,"writepage_delalloc(inode, folio, bio_ctrl)",[],[],[],0,"{""acquired_resources"": [], ""missing_releases"": [], ""cleanup_calls"": [], ""final_return_expr"": ""0""}",error-like condition is followed by successful return expression.
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/btrfs/extent_io.c,extent_writepage,extent_writepage#006,1897,error_swallowed,P1,ret == 1,return,,folio_pos(folio),[],[],[],0,"{""acquired_resources"": [], ""missing_releases"": [], ""cleanup_calls"": [], ""final_return_expr"": ""0""}",error-like condition is followed by successful return expression.
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/btrfs/extent_io.c,alloc_dummy_extent_buffer,alloc_dummy_extent_buffer#002,3142,error_swallowed,P2,ret,goto,release_eb,"alloc_eb_folio_array(eb, false)",[],"[""btrfs_release_extent_buffer(eb)""]",[],NULL,"{""acquired_resources"": [], ""missing_releases"": [], ""cleanup_calls"": [""btrfs_release_extent_buffer(eb)""], ""final_return_expr"": ""NULL""}",error-like condition is followed by successful return expression.
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/btrfs/extent_io.c,alloc_dummy_extent_buffer,alloc_dummy_extent_buffer#003,3147,error_swallowed,P2,ret < 0,goto,cleanup_folios,"attach_extent_buffer_folio(eb, eb->folios[i], NULL)",[],"[""cleanup_extent_buffer_folios(eb)"", ""btrfs_release_extent_buffer(eb)""]",[],NULL,"{""acquired_resources"": [], ""missing_releases"": [], ""cleanup_calls"": [""cleanup_extent_buffer_folios(eb)"", ""btrfs_release_extent_buffer(eb)""], ""final_return_expr"": ""NULL""}",error-like condition is followed by successful return expression.
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/btrfs/free-space-tree.c,btrfs_remove_from_free_space_tree,btrfs_remove_from_free_space_tree#003,856,missing_cleanup,P3,unlikely(!block_group),return,,unknown,"[{""var"": ""path"", ""acquire_func"": ""btrfs_alloc_path"", ""resource_type"": ""btrfs_path"", ""release_functions"": [""btrfs_free_path""], ""acquire_line"": 848, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": ""btrfs_free_path"", ""scope_cleanup_decl_line"": 842}, {""var"": ""block_group"", ""acquire_func"": ""btrfs_lookup_block_group"", ""resource_type"": ""btrfs_block_group_ref"", ""release_functions"": [""btrfs_put_block_group""], ""acquire_line"": 855, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}]","[""DEBUG_WARN(\""no block group found for start=%llu\"", start)"", ""btrfs_abort_transaction(trans, ret)""]","[""btrfs_put_block_group(block_group)""]",ret,"{""acquired_resources"": [{""var"": ""path"", ""acquire_func"": ""btrfs_alloc_path"", ""resource_type"": ""btrfs_path"", ""release_functions"": [""btrfs_free_path""], ""acquire_line"": 848, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": ""btrfs_free_path"", ""scope_cleanup_decl_line"": 842}, {""var"": ""block_group"", ""acquire_func"": ""btrfs_lookup_block_group"", ""resource_type"": ""btrfs_block_group_ref"", ""release_functions"": [""btrfs_put_block_group""], ""acquire_line"": 855, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}], ""missing_releases"": [""btrfs_put_block_group(block_group)""], ""cleanup_calls"": [""DEBUG_WARN(\""no block group found for start=%llu\"", start)"", ""btrfs_abort_transaction(trans, ret)""], ""final_return_expr"": ""ret""}",error path exits while resource acquired before error path has no matching release in cleanup.
