linux_git_commit,linux_git_tag,file,function,path_id,error_line,candidate_type,severity,condition,exit_type,target_label,error_source_expr,held_resources,cleanup_calls,missing_cleanup_candidates,final_return_expr,evidence,reason
38fec10eb60d687e30c8c6b5420d86e8149f7557,v6.14,fs/xfs/xfs_attr_inactive.c,xfs_attr3_node_inactive,xfs_attr3_node_inactive#006,230,missing_cleanup,P3,error,return,,"xfs_da3_node_read_mapped(*trans, dp,","[{""var"": ""child_bp"", ""acquire_func"": ""xfs_trans_get_buf"", ""resource_type"": ""xfs_trans_buf"", ""release_functions"": [""xfs_trans_brelse"", ""xfs_buf_relse""], ""acquire_line"": 212, ""out_resource_arg"": 5, ""release_arg_index"": 1, ""release_arg_requires_address"": false, ""release_suggestion_template"": ""xfs_trans_brelse(tp, {var})"", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}]",[],"[""xfs_trans_brelse(tp, child_bp)""]",error,"{""acquired_resources"": [{""var"": ""child_bp"", ""acquire_func"": ""xfs_trans_get_buf"", ""resource_type"": ""xfs_trans_buf"", ""release_functions"": [""xfs_trans_brelse"", ""xfs_buf_relse""], ""acquire_line"": 212, ""out_resource_arg"": 5, ""release_arg_index"": 1, ""release_arg_requires_address"": false, ""release_suggestion_template"": ""xfs_trans_brelse(tp, {var})"", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}], ""missing_releases"": [""xfs_trans_brelse(tp, child_bp)""], ""cleanup_calls"": [], ""final_return_expr"": ""error""}",error path exits while resource acquired before error path has no matching release in cleanup.
38fec10eb60d687e30c8c6b5420d86e8149f7557,v6.14,fs/xfs/xfs_attr_inactive.c,xfs_attr3_node_inactive,xfs_attr3_node_inactive#007,242,missing_cleanup,P3,error,return,,"xfs_trans_roll_inode(trans, dp)","[{""var"": ""child_bp"", ""acquire_func"": ""xfs_trans_get_buf"", ""resource_type"": ""xfs_trans_buf"", ""release_functions"": [""xfs_trans_brelse"", ""xfs_buf_relse""], ""acquire_line"": 212, ""out_resource_arg"": 5, ""release_arg_index"": 1, ""release_arg_requires_address"": false, ""release_suggestion_template"": ""xfs_trans_brelse(tp, {var})"", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}]",[],"[""xfs_trans_brelse(tp, child_bp)""]",error,"{""acquired_resources"": [{""var"": ""child_bp"", ""acquire_func"": ""xfs_trans_get_buf"", ""resource_type"": ""xfs_trans_buf"", ""release_functions"": [""xfs_trans_brelse"", ""xfs_buf_relse""], ""acquire_line"": 212, ""out_resource_arg"": 5, ""release_arg_index"": 1, ""release_arg_requires_address"": false, ""release_suggestion_template"": ""xfs_trans_brelse(tp, {var})"", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}], ""missing_releases"": [""xfs_trans_brelse(tp, child_bp)""], ""cleanup_calls"": [], ""final_return_expr"": ""error""}",error path exits while resource acquired before error path has no matching release in cleanup.
38fec10eb60d687e30c8c6b5420d86e8149f7557,v6.14,fs/xfs/xfs_attr_item.c,xfs_attr_recover_work,xfs_attr_recover_work#003,782,missing_cleanup,P2,error,return,,"xfs_trans_alloc(mp, &resv, total, 0, XFS_TRANS_RESERVE, &tp)","[{""var"": ""attr"", ""acquire_func"": ""xfs_attri_recover_work"", ""resource_type"": ""memory"", ""release_functions"": [""kfree""], ""acquire_line"": 761, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}]",[],"[""kfree(attr)""]",error,"{""acquired_resources"": [{""var"": ""attr"", ""acquire_func"": ""xfs_attri_recover_work"", ""resource_type"": ""memory"", ""release_functions"": [""kfree""], ""acquire_line"": 761, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}], ""missing_releases"": [""kfree(attr)""], ""cleanup_calls"": [], ""final_return_expr"": ""error""}",error path exits while resource acquired before error path has no matching release in cleanup.
38fec10eb60d687e30c8c6b5420d86e8149f7557,v6.14,fs/xfs/xfs_attr_list.c,xfs_attr_shortform_list,xfs_attr_shortform_list#005,126,partial_cleanup,P2,((char *)sfe < (char *)sf) || ((char *)sfe >= ((char *)sf + dp->i_af.if_bytes)) || !xfs_attr_check_namespace(sfe->flags),return,,unknown,"[{""var"": ""sbp"", ""acquire_func"": ""kmalloc"", ""resource_type"": ""memory"", ""release_functions"": [""kfree""], ""acquire_line"": 117, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}, {""var"": ""sbuf"", ""acquire_func"": ""kmalloc"", ""resource_type"": ""memory"", ""release_functions"": [""kfree""], ""acquire_line"": 117, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}]","[""XFS_CORRUPTION_ERROR(\""xfs_attr_shortform_list\"", XFS_ERRLEVEL_LOW, context->dp->i_mount, sfe, sizeof(*sfe))"", ""kfree(sbuf)"", ""xfs_dirattr_mark_sick(dp, XFS_ATTR_FORK)""]","[""kfree(sbp)""]",-EFSCORRUPTED,"{""acquired_resources"": [{""var"": ""sbp"", ""acquire_func"": ""kmalloc"", ""resource_type"": ""memory"", ""release_functions"": [""kfree""], ""acquire_line"": 117, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}, {""var"": ""sbuf"", ""acquire_func"": ""kmalloc"", ""resource_type"": ""memory"", ""release_functions"": [""kfree""], ""acquire_line"": 117, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}], ""missing_releases"": [""kfree(sbp)""], ""cleanup_calls"": [""XFS_CORRUPTION_ERROR(\""xfs_attr_shortform_list\"", XFS_ERRLEVEL_LOW, context->dp->i_mount, sfe, sizeof(*sfe))"", ""kfree(sbuf)"", ""xfs_dirattr_mark_sick(dp, XFS_ATTR_FORK)""], ""final_return_expr"": ""-EFSCORRUPTED""}",cleanup label releases some resources but not all resources acquired before the error path.
38fec10eb60d687e30c8c6b5420d86e8149f7557,v6.14,fs/xfs/xfs_attr_list.c,xfs_attr_shortform_list,xfs_attr_shortform_list#006,176,partial_cleanup,P2,i == nsbuf,goto,out,0,"[{""var"": ""sbp"", ""acquire_func"": ""kmalloc"", ""resource_type"": ""memory"", ""release_functions"": [""kfree""], ""acquire_line"": 117, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}, {""var"": ""sbuf"", ""acquire_func"": ""kmalloc"", ""resource_type"": ""memory"", ""release_functions"": [""kfree""], ""acquire_line"": 117, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}]","[""kfree(sbuf)""]","[""kfree(sbp)""]",error,"{""acquired_resources"": [{""var"": ""sbp"", ""acquire_func"": ""kmalloc"", ""resource_type"": ""memory"", ""release_functions"": [""kfree""], ""acquire_line"": 117, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}, {""var"": ""sbuf"", ""acquire_func"": ""kmalloc"", ""resource_type"": ""memory"", ""release_functions"": [""kfree""], ""acquire_line"": 117, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}], ""missing_releases"": [""kfree(sbp)""], ""cleanup_calls"": [""kfree(sbuf)""], ""final_return_expr"": ""error""}",cleanup label releases some resources but not all resources acquired before the error path.
38fec10eb60d687e30c8c6b5420d86e8149f7557,v6.14,fs/xfs/xfs_attr_list.c,xfs_attr_shortform_list,xfs_attr_shortform_list#007,187,partial_cleanup,P2,"XFS_IS_CORRUPT(context->dp->i_mount, !xfs_attr_namecheck(sbp->flags, sbp->name, sbp->namelen))",goto,out,unknown,"[{""var"": ""sbp"", ""acquire_func"": ""kmalloc"", ""resource_type"": ""memory"", ""release_functions"": [""kfree""], ""acquire_line"": 117, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}, {""var"": ""sbuf"", ""acquire_func"": ""kmalloc"", ""resource_type"": ""memory"", ""release_functions"": [""kfree""], ""acquire_line"": 117, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}]","[""xfs_dirattr_mark_sick(context->dp, XFS_ATTR_FORK)"", ""kfree(sbuf)""]","[""kfree(sbp)""]",error,"{""acquired_resources"": [{""var"": ""sbp"", ""acquire_func"": ""kmalloc"", ""resource_type"": ""memory"", ""release_functions"": [""kfree""], ""acquire_line"": 117, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}, {""var"": ""sbuf"", ""acquire_func"": ""kmalloc"", ""resource_type"": ""memory"", ""release_functions"": [""kfree""], ""acquire_line"": 117, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}], ""missing_releases"": [""kfree(sbp)""], ""cleanup_calls"": [""xfs_dirattr_mark_sick(context->dp, XFS_ATTR_FORK)"", ""kfree(sbuf)""], ""final_return_expr"": ""error""}",cleanup label releases some resources but not all resources acquired before the error path.
38fec10eb60d687e30c8c6b5420d86e8149f7557,v6.14,fs/xfs/xfs_bmap_item.c,xfs_bui_recover_work,xfs_bui_recover_work#001,457,missing_cleanup,P3,error,return,,"xlog_recover_iget(mp, map->me_owner, ipp)","[{""var"": ""ipp"", ""acquire_func"": ""xlog_recover_iget"", ""resource_type"": ""xfs_inode_ref"", ""release_functions"": [""xfs_irele"", ""iput""], ""acquire_line"": 456, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}]",[],"[""xfs_irele(ipp)""]",ERR_PTR(error),"{""acquired_resources"": [{""var"": ""ipp"", ""acquire_func"": ""xlog_recover_iget"", ""resource_type"": ""xfs_inode_ref"", ""release_functions"": [""xfs_irele"", ""iput""], ""acquire_line"": 456, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}], ""missing_releases"": [""xfs_irele(ipp)""], ""cleanup_calls"": [], ""final_return_expr"": ""ERR_PTR(error)""}",error path exits while resource acquired before error path has no matching release in cleanup.
38fec10eb60d687e30c8c6b5420d86e8149f7557,v6.14,fs/xfs/xfs_bmap_item.c,xfs_bmap_recover_work,xfs_bmap_recover_work#002,508,missing_cleanup,P3,IS_ERR(work),return,,"xfs_bui_recover_work(mp, dfp, &ip, map)","[{""var"": ""ip"", ""acquire_func"": ""xfs_bui_recover_work"", ""resource_type"": ""xfs_inode_ref"", ""release_functions"": [""xfs_irele"", ""iput""], ""acquire_line"": 507, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}]",[],"[""xfs_irele(ip)""]",PTR_ERR(work),"{""acquired_resources"": [{""var"": ""ip"", ""acquire_func"": ""xfs_bui_recover_work"", ""resource_type"": ""xfs_inode_ref"", ""release_functions"": [""xfs_irele"", ""iput""], ""acquire_line"": 507, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}], ""missing_releases"": [""xfs_irele(ip)""], ""cleanup_calls"": [], ""final_return_expr"": ""PTR_ERR(work)""}",error path exits while resource acquired before error path has no matching release in cleanup.
38fec10eb60d687e30c8c6b5420d86e8149f7557,v6.14,fs/xfs/xfs_bmap_item.c,xfs_bmap_recover_work,xfs_bmap_recover_work#003,515,partial_cleanup,P2,error,goto,err_rele,"xfs_trans_alloc(mp, &resv,","[{""var"": ""ip"", ""acquire_func"": ""xfs_bui_recover_work"", ""resource_type"": ""xfs_inode_ref"", ""release_functions"": [""xfs_irele"", ""iput""], ""acquire_line"": 507, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}, {""var"": ""work"", ""acquire_func"": ""xfs_bui_recover_work"", ""resource_type"": ""memory"", ""release_functions"": [""kmem_cache_free"", ""kfree""], ""acquire_line"": 507, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}]","[""xfs_irele(ip)""]","[""kmem_cache_free(work)""]",error,"{""acquired_resources"": [{""var"": ""ip"", ""acquire_func"": ""xfs_bui_recover_work"", ""resource_type"": ""xfs_inode_ref"", ""release_functions"": [""xfs_irele"", ""iput""], ""acquire_line"": 507, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}, {""var"": ""work"", ""acquire_func"": ""xfs_bui_recover_work"", ""resource_type"": ""memory"", ""release_functions"": [""kmem_cache_free"", ""kfree""], ""acquire_line"": 507, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}], ""missing_releases"": [""kmem_cache_free(work)""], ""cleanup_calls"": [""xfs_irele(ip)""], ""final_return_expr"": ""error""}",cleanup label releases some resources but not all resources acquired before the error path.
38fec10eb60d687e30c8c6b5420d86e8149f7557,v6.14,fs/xfs/xfs_bmap_item.c,xfs_bmap_recover_work,xfs_bmap_recover_work#003,515,missing_cleanup,P2,error,goto,err_rele,"xfs_trans_alloc(mp, &resv,","[{""var"": ""ip"", ""acquire_func"": ""xfs_bui_recover_work"", ""resource_type"": ""xfs_inode_ref"", ""release_functions"": [""xfs_irele"", ""iput""], ""acquire_line"": 507, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}, {""var"": ""work"", ""acquire_func"": ""xfs_bui_recover_work"", ""resource_type"": ""memory"", ""release_functions"": [""kmem_cache_free"", ""kfree""], ""acquire_line"": 507, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}]","[""xfs_irele(ip)""]","[""kmem_cache_free(work)""]",error,"{""acquired_resources"": [{""var"": ""ip"", ""acquire_func"": ""xfs_bui_recover_work"", ""resource_type"": ""xfs_inode_ref"", ""release_functions"": [""xfs_irele"", ""iput""], ""acquire_line"": 507, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}, {""var"": ""work"", ""acquire_func"": ""xfs_bui_recover_work"", ""resource_type"": ""memory"", ""release_functions"": [""kmem_cache_free"", ""kfree""], ""acquire_line"": 507, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}], ""missing_releases"": [""kmem_cache_free(work)""], ""cleanup_calls"": [""xfs_irele(ip)""], ""final_return_expr"": ""error""}",error path exits while resource acquired before error path has no matching release in cleanup.
38fec10eb60d687e30c8c6b5420d86e8149f7557,v6.14,fs/xfs/xfs_bmap_item.c,xfs_bmap_recover_work,xfs_bmap_recover_work#004,521,partial_cleanup,P2,"!!(map->me_flags & XFS_BMAP_EXTENT_REALTIME) != xfs_ifork_is_realtime(ip, work->bi_whichfork)",goto,err_cancel,&buip->bui_format.bui_extents[0],"[{""var"": ""ip"", ""acquire_func"": ""xfs_ilock"", ""resource_type"": ""xfs_inode_lock"", ""release_functions"": [""xfs_iunlock""], ""acquire_line"": 518, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}, {""var"": ""work"", ""acquire_func"": ""xfs_bui_recover_work"", ""resource_type"": ""memory"", ""release_functions"": [""kmem_cache_free"", ""kfree""], ""acquire_line"": 507, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}, {""var"": ""tp"", ""acquire_func"": ""xfs_trans_alloc"", ""resource_type"": ""xfs_transaction"", ""release_functions"": [""xfs_trans_cancel"", ""xfs_trans_commit""], ""acquire_line"": 513, ""out_resource_arg"": 5, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}]","[""xfs_trans_cancel(tp)"", ""xfs_iunlock(ip, XFS_ILOCK_EXCL)"", ""xfs_irele(ip)""]","[""kmem_cache_free(work)""]",error,"{""acquired_resources"": [{""var"": ""ip"", ""acquire_func"": ""xfs_ilock"", ""resource_type"": ""xfs_inode_lock"", ""release_functions"": [""xfs_iunlock""], ""acquire_line"": 518, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}, {""var"": ""work"", ""acquire_func"": ""xfs_bui_recover_work"", ""resource_type"": ""memory"", ""release_functions"": [""kmem_cache_free"", ""kfree""], ""acquire_line"": 507, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}, {""var"": ""tp"", ""acquire_func"": ""xfs_trans_alloc"", ""resource_type"": ""xfs_transaction"", ""release_functions"": [""xfs_trans_cancel"", ""xfs_trans_commit""], ""acquire_line"": 513, ""out_resource_arg"": 5, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}], ""missing_releases"": [""kmem_cache_free(work)""], ""cleanup_calls"": [""xfs_trans_cancel(tp)"", ""xfs_iunlock(ip, XFS_ILOCK_EXCL)"", ""xfs_irele(ip)""], ""final_return_expr"": ""error""}",cleanup label releases some resources but not all resources acquired before the error path.
38fec10eb60d687e30c8c6b5420d86e8149f7557,v6.14,fs/xfs/xfs_bmap_item.c,xfs_bmap_recover_work,xfs_bmap_recover_work#004,521,missing_cleanup,P2,"!!(map->me_flags & XFS_BMAP_EXTENT_REALTIME) != xfs_ifork_is_realtime(ip, work->bi_whichfork)",goto,err_cancel,&buip->bui_format.bui_extents[0],"[{""var"": ""ip"", ""acquire_func"": ""xfs_ilock"", ""resource_type"": ""xfs_inode_lock"", ""release_functions"": [""xfs_iunlock""], ""acquire_line"": 518, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}, {""var"": ""work"", ""acquire_func"": ""xfs_bui_recover_work"", ""resource_type"": ""memory"", ""release_functions"": [""kmem_cache_free"", ""kfree""], ""acquire_line"": 507, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}, {""var"": ""tp"", ""acquire_func"": ""xfs_trans_alloc"", ""resource_type"": ""xfs_transaction"", ""release_functions"": [""xfs_trans_cancel"", ""xfs_trans_commit""], ""acquire_line"": 513, ""out_resource_arg"": 5, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}]","[""xfs_trans_cancel(tp)"", ""xfs_iunlock(ip, XFS_ILOCK_EXCL)"", ""xfs_irele(ip)""]","[""kmem_cache_free(work)""]",error,"{""acquired_resources"": [{""var"": ""ip"", ""acquire_func"": ""xfs_ilock"", ""resource_type"": ""xfs_inode_lock"", ""release_functions"": [""xfs_iunlock""], ""acquire_line"": 518, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}, {""var"": ""work"", ""acquire_func"": ""xfs_bui_recover_work"", ""resource_type"": ""memory"", ""release_functions"": [""kmem_cache_free"", ""kfree""], ""acquire_line"": 507, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}, {""var"": ""tp"", ""acquire_func"": ""xfs_trans_alloc"", ""resource_type"": ""xfs_transaction"", ""release_functions"": [""xfs_trans_cancel"", ""xfs_trans_commit""], ""acquire_line"": 513, ""out_resource_arg"": 5, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}], ""missing_releases"": [""kmem_cache_free(work)""], ""cleanup_calls"": [""xfs_trans_cancel(tp)"", ""xfs_iunlock(ip, XFS_ILOCK_EXCL)"", ""xfs_irele(ip)""], ""final_return_expr"": ""error""}",error path exits while resource acquired before error path has no matching release in cleanup.
38fec10eb60d687e30c8c6b5420d86e8149f7557,v6.14,fs/xfs/xfs_bmap_item.c,xfs_bmap_recover_work,xfs_bmap_recover_work#005,533,partial_cleanup,P2,error,goto,err_cancel,"xfs_iext_count_extend(tp, ip, work->bi_whichfork, iext_delta)","[{""var"": ""ip"", ""acquire_func"": ""xfs_ilock"", ""resource_type"": ""xfs_inode_lock"", ""release_functions"": [""xfs_iunlock""], ""acquire_line"": 518, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}, {""var"": ""work"", ""acquire_func"": ""xfs_bui_recover_work"", ""resource_type"": ""memory"", ""release_functions"": [""kmem_cache_free"", ""kfree""], ""acquire_line"": 507, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}, {""var"": ""tp"", ""acquire_func"": ""xfs_trans_alloc"", ""resource_type"": ""xfs_transaction"", ""release_functions"": [""xfs_trans_cancel"", ""xfs_trans_commit""], ""acquire_line"": 513, ""out_resource_arg"": 5, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}]","[""xfs_trans_cancel(tp)"", ""xfs_iunlock(ip, XFS_ILOCK_EXCL)"", ""xfs_irele(ip)""]","[""kmem_cache_free(work)""]",error,"{""acquired_resources"": [{""var"": ""ip"", ""acquire_func"": ""xfs_ilock"", ""resource_type"": ""xfs_inode_lock"", ""release_functions"": [""xfs_iunlock""], ""acquire_line"": 518, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}, {""var"": ""work"", ""acquire_func"": ""xfs_bui_recover_work"", ""resource_type"": ""memory"", ""release_functions"": [""kmem_cache_free"", ""kfree""], ""acquire_line"": 507, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}, {""var"": ""tp"", ""acquire_func"": ""xfs_trans_alloc"", ""resource_type"": ""xfs_transaction"", ""release_functions"": [""xfs_trans_cancel"", ""xfs_trans_commit""], ""acquire_line"": 513, ""out_resource_arg"": 5, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}], ""missing_releases"": [""kmem_cache_free(work)""], ""cleanup_calls"": [""xfs_trans_cancel(tp)"", ""xfs_iunlock(ip, XFS_ILOCK_EXCL)"", ""xfs_irele(ip)""], ""final_return_expr"": ""error""}",cleanup label releases some resources but not all resources acquired before the error path.
