linux_git_commit,linux_git_tag,file,function,function_start_line,function_end_line,path_id,error_line,condition,condition_type,error_var,error_source_expr,exit_type,target_label,cleanup_calls,final_return_expr,held_resources,missing_cleanup_candidates,confidence,reason
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/btrfs/acl.c,btrfs_get_acl,1,55,btrfs_get_acl#001,26,rcu,state_or_validation_error,rcu,function_parameter,return,,[],ERR_PTR(-ECHILD),[],[],medium,ERR_PTR return under state_or_validation_error condition
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/btrfs/acl.c,btrfs_get_acl,1,55,btrfs_get_acl#002,43,!value,null_check,value,"kzalloc(size, GFP_KERNEL)",return,,[],ERR_PTR(-ENOMEM),[],[],high,ERR_PTR return under null_check condition
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/btrfs/acl.c,btrfs_get_acl,1,55,btrfs_get_acl#003,37,,err_ptr_return,unknown,unknown,return,,[],ERR_PTR(-EINVAL),[],[],high,direct err_ptr_return
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/btrfs/acl.c,__btrfs_set_acl,57,101,__btrfs_set_acl#002,88,!value,null_check,value,"posix_acl_to_xattr(&init_user_ns, acl, &size, GFP_KERNEL)",return,,[],-ENOMEM,[],[],high,negative errno return under null_check condition
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/btrfs/acl.c,__btrfs_set_acl,57,101,__btrfs_set_acl#003,96,ret < 0,negative_error,ret,"btrfs_setxattr_trans(inode, name, value, size, 0)",return,,[],ret,[],[],high,return ret under negative_error condition
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/btrfs/acl.c,__btrfs_set_acl,57,101,__btrfs_set_acl#004,75,,negative_errno_return,unknown,unknown,return,,[],-EINVAL,[],[],high,direct negative_errno_return
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/btrfs/acl.c,btrfs_set_acl,103,120,btrfs_set_acl#001,113,ret,ret_nonzero,ret,"posix_acl_update_mode(idmap, inode,",return,,[],ret,[],[],high,return ret under ret_nonzero condition
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/btrfs/async-thread.c,btrfs_alloc_workqueue,84,121,btrfs_alloc_workqueue#001,90,!ret,null_check,ret,kzalloc_obj(*ret),return,,[],NULL,[],[],high,return NULL under null_check condition
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/btrfs/async-thread.c,btrfs_alloc_workqueue,84,121,btrfs_alloc_workqueue#002,114,!ret->normal_wq,null_check,ret->normal_wq,"alloc_workqueue(""btrfs-%s"", flags, ret->current_active,",return,,"[""kfree(ret)""]",NULL,[],[],high,return NULL under null_check condition
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/btrfs/async-thread.c,btrfs_alloc_ordered_workqueue,123,148,btrfs_alloc_ordered_workqueue#001,130,!ret,null_check,ret,kzalloc_obj(*ret),return,,[],NULL,[],[],high,return NULL under null_check condition
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/btrfs/async-thread.c,btrfs_alloc_ordered_workqueue,123,148,btrfs_alloc_ordered_workqueue#002,141,!ret->normal_wq,null_check,ret->normal_wq,"alloc_ordered_workqueue(""btrfs-%s"", flags, name)",return,,"[""kfree(ret)""]",NULL,[],[],high,return NULL under null_check condition
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/btrfs/async-thread.c,thresh_exec_hook,162,207,thresh_exec_hook#002,184,!wq->count,null_check,wq->count,unknown,goto,out,"[""spin_unlock(&wq->thres_lock)"", ""workqueue_set_max_active(wq->normal_wq, wq->current_active)""]",unknown,"[{""var"": ""&wq->thres_lock"", ""acquire_func"": ""spin_lock"", ""resource_type"": ""spinlock"", ""release_functions"": [""spin_unlock""], ""acquire_line"": 177, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}]",[],high,"goto out under null_check condition, final return unknown; label found but no return reached; resource &wq->thres_lock acquired by spin_lock before path, released by spin_unlock(&wq->thres_lock) in out label"
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/btrfs/async-thread.c,btrfs_destroy_workqueue,354,361,btrfs_destroy_workqueue#001,356,!wq,null_check,wq,function_parameter,return,,[],unknown,[],[],high,return unknown under null_check condition
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/btrfs/backref.c,check_extent_in_eb,35,92,check_extent_in_eb#002,62,!ctx->indirect_ref_iterator || !ctx->cache_lookup,unknown_error_like,ctx,function_parameter,goto,add_inode_elem,"[""kmalloc_obj(*e, GFP_NOFS)""]",-ENOMEM,[],[],medium,"goto add_inode_elem under unknown_error_like condition, final return -ENOMEM; resolved label cleanup until return"
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/btrfs/backref.c,check_extent_in_eb,35,92,check_extent_in_eb#003,67,!cached,null_check,cached,"ctx->cache_lookup(eb->start, ctx->user_ctx, &root_ids,",goto,add_inode_elem,"[""kmalloc_obj(*e, GFP_NOFS)""]",-ENOMEM,[],[],high,"goto add_inode_elem under null_check condition, final return -ENOMEM; resolved label cleanup until return"
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/btrfs/backref.c,check_extent_in_eb,35,92,check_extent_in_eb#004,76,ret,ret_nonzero,ret,"ctx->indirect_ref_iterator(key->objectid, offset,",return,,[],ret,[],[],high,return ret under ret_nonzero condition
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/btrfs/backref.c,check_extent_in_eb,35,92,check_extent_in_eb#005,82,!e,null_check,e,"kmalloc_obj(*e, GFP_NOFS)",return,,[],-ENOMEM,[],[],high,negative errno return under null_check condition
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/btrfs/backref.c,find_extent_in_eb,104,141,find_extent_in_eb#001,136,ret == BTRFS_ITERATE_EXTENT_INODES_STOP || ret < 0,unknown_error_like,ret,"check_extent_in_eb(ctx, &key, eb, fi, eie)",return,,[],ret,[],[],medium,return ret under unknown_error_like condition
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/btrfs/backref.c,btrfs_prelim_ref_init,198,205,btrfs_prelim_ref_init#001,202,!btrfs_prelim_ref_cache,null_check,btrfs_prelim_ref_cache,"kmem_cache_create(""btrfs_prelim_ref"",",return,,[],-ENOMEM,[],[],high,negative errno return under null_check condition
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/btrfs/backref.c,add_prelim_ref,349,415,add_prelim_ref#002,399,!ref,null_check,ref,"kmem_cache_alloc(btrfs_prelim_ref_cache, gfp_mask)",return,,[],-ENOMEM,[],[],high,negative errno return under null_check condition
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/btrfs/backref.c,add_all_parents,467,584,add_all_parents#001,486,level != 0,state_or_validation_error,level,function_parameter,return,,"[""ulist_add(parents, eb->start, 0, GFP_NOFS)""]",0,[],[],medium,return 0 under state_or_validation_error condition
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/btrfs/backref.c,add_all_parents,467,584,add_all_parents#002,489,ret < 0,negative_error,ret,"ulist_add(parents, eb->start, 0, GFP_NOFS)",return,,[],ret,[],[],high,return ret under negative_error condition
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/btrfs/backref.c,add_all_parents,467,584,add_all_parents#003,540,type == BTRFS_FILE_EXTENT_INLINE,unknown_error_like,type,"btrfs_file_extent_type(eb, fi)",goto,next,"[""btrfs_next_item(root, path)"", ""btrfs_next_old_item(root, path, ctx->time_seq)"", ""free_inode_elem_list(eie)""]",ret,[],[],medium,"goto next under unknown_error_like condition, final return ret; resolved label cleanup until return"
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/btrfs/backref.c,add_all_parents,467,584,add_all_parents#004,548,ref->key_for_search.offset == key.offset - data_offset,unknown_error_like,ref,function_parameter,goto,next,"[""btrfs_next_item(root, path)"", ""btrfs_next_old_item(root, path, ctx->time_seq)"", ""free_inode_elem_list(eie)""]",ret,[],[],medium,"goto next under unknown_error_like condition, final return ret; resolved label cleanup until return"
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/btrfs/backref.c,add_all_parents,467,584,add_all_parents#005,558,ret > 0,unknown_error_like,ret,"check_extent_in_eb(ctx, &key, eb, fi, &eie)",goto,next,"[""btrfs_next_item(root, path)"", ""btrfs_next_old_item(root, path, ctx->time_seq)"", ""free_inode_elem_list(eie)""]",ret,[],[],medium,"goto next under unknown_error_like condition, final return ret; resolved label cleanup until return"
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/btrfs/backref.c,resolve_indirect_ref,586,692,resolve_indirect_ref#001,614,IS_ERR(root),err_ptr_check,root,"btrfs_get_fs_root(ctx->fs_info, ref->root_id, false)",goto,out_free,"[""PTR_ERR(root)"", ""btrfs_release_path(path)""]",ret,[],[],high,"goto out_free under err_ptr_check condition, final return ret; resolved label cleanup until return"
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/btrfs/backref.c,resolve_indirect_ref,586,692,resolve_indirect_ref#002,619,"!path->search_commit_root && test_bit(BTRFS_ROOT_DELETING, &root->state)",unknown_error_like,path,function_parameter,goto,out,"[""btrfs_put_root(root)"", ""btrfs_release_path(path)""]",ret,"[{""var"": ""root"", ""acquire_func"": ""btrfs_get_fs_root"", ""resource_type"": ""btrfs_root_ref"", ""release_functions"": [""btrfs_put_root""], ""acquire_line"": 613, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}]",[],medium,"goto out under unknown_error_like condition, final return ret; resolved label cleanup until return; resource root acquired by btrfs_get_fs_root before path, released by btrfs_put_root(root) in out label"
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/btrfs/backref.c,resolve_indirect_ref,586,692,resolve_indirect_ref#003,625,btrfs_is_testing(ctx->fs_info),unknown_error_like,btrfs_is_testing,unknown,goto,out,"[""btrfs_put_root(root)"", ""btrfs_release_path(path)""]",ret,"[{""var"": ""root"", ""acquire_func"": ""btrfs_get_fs_root"", ""resource_type"": ""btrfs_root_ref"", ""release_functions"": [""btrfs_put_root""], ""acquire_line"": 613, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}]",[],medium,"goto out under unknown_error_like condition, final return ret; resolved label cleanup until return; resource root acquired by btrfs_get_fs_root before path, released by btrfs_put_root(root) in out label"
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/btrfs/backref.c,resolve_indirect_ref,586,692,resolve_indirect_ref#004,637,root_level + 1 == level,unknown_error_like,root_level,"btrfs_old_root_level(root, ctx->time_seq)",goto,out,"[""btrfs_put_root(root)"", ""btrfs_release_path(path)""]",ret,"[{""var"": ""root"", ""acquire_func"": ""btrfs_get_fs_root"", ""resource_type"": ""btrfs_root_ref"", ""release_functions"": [""btrfs_put_root""], ""acquire_line"": 613, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}]",[],medium,"goto out under unknown_error_like condition, final return ret; resolved label cleanup until return; resource root acquired by btrfs_get_fs_root before path, released by btrfs_put_root(root) in out label"
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/btrfs/backref.c,resolve_indirect_ref,586,692,resolve_indirect_ref#005,672,ret < 0,negative_error,ret,"btrfs_search_old_slot(root, &search_key, path, ctx->time_seq)",goto,out,"[""btrfs_put_root(root)"", ""btrfs_release_path(path)""]",ret,"[{""var"": ""root"", ""acquire_func"": ""btrfs_get_fs_root"", ""resource_type"": ""btrfs_root_ref"", ""release_functions"": [""btrfs_put_root""], ""acquire_line"": 613, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}]",[],high,"goto out under negative_error condition, final return ret; resolved label cleanup until return; resource root acquired by btrfs_get_fs_root before path, released by btrfs_put_root(root) in out label"
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/btrfs/backref.c,resolve_indirect_ref,586,692,resolve_indirect_ref#006,677,WARN_ON(!level),unknown_error_like,WARN_ON,unknown,goto,out,"[""btrfs_put_root(root)"", ""btrfs_release_path(path)""]",ret,"[{""var"": ""root"", ""acquire_func"": ""btrfs_get_fs_root"", ""resource_type"": ""btrfs_root_ref"", ""release_functions"": [""btrfs_put_root""], ""acquire_line"": 613, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}]",[],medium,"goto out under unknown_error_like condition, final return ret; resolved label cleanup until return; resource root acquired by btrfs_get_fs_root before path, released by btrfs_put_root(root) in out label"
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/btrfs/backref.c,unode_aux_to_inode_list,694,700,unode_aux_to_inode_list#001,697,!node,null_check,node,function_parameter,return,,[],NULL,[],[],high,return NULL under null_check condition
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/btrfs/backref.c,resolve_indirect_refs,714,830,resolve_indirect_refs#001,742,!parents,null_check,parents,ulist_alloc(GFP_NOFS),return,,[],-ENOMEM,[],[],high,negative errno return under null_check condition
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/btrfs/backref.c,resolve_indirect_refs,714,830,resolve_indirect_refs#002,756,"WARN(ref->parent, ""BUG: direct ref found in indirect tree"")",unknown_error_like,WARN,unknown,goto,out,"[""free_leaf_list(parents)""]",ret,"[{""var"": ""parents"", ""acquire_func"": ""ulist_alloc"", ""resource_type"": ""ulist"", ""release_functions"": [""ulist_free"", ""free_leaf_list""], ""acquire_line"": 741, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}]",[],medium,"goto out under unknown_error_like condition, final return ret; resolved label cleanup until return; resource parents acquired by ulist_alloc before path, released by free_leaf_list(parents) in out label"
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/btrfs/backref.c,resolve_indirect_refs,714,830,resolve_indirect_refs#003,770,sc && ref->root_id != btrfs_root_id(sc->root),state_or_validation_error,sc,function_parameter,goto,out,"[""free_pref(ref)"", ""free_leaf_list(parents)""]",ret,"[{""var"": ""parents"", ""acquire_func"": ""ulist_alloc"", ""resource_type"": ""ulist"", ""release_functions"": [""ulist_free"", ""free_leaf_list""], ""acquire_line"": 741, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}]",[],high,"goto out under state_or_validation_error condition, final return ret; resolved label cleanup until return; resource parents acquired by ulist_alloc before path, released by free_leaf_list(parents) in out label"
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/btrfs/backref.c,resolve_indirect_refs,714,830,resolve_indirect_refs#004,784,ret2,state_or_validation_error,ret2,"resolve_indirect_ref(ctx, path, preftrees, ref, parents)",goto,out,"[""free_pref(ref)"", ""free_leaf_list(parents)""]",ret,"[{""var"": ""parents"", ""acquire_func"": ""ulist_alloc"", ""resource_type"": ""ulist"", ""release_functions"": [""ulist_free"", ""free_leaf_list""], ""acquire_line"": 741, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}]",[],medium,"goto out under state_or_validation_error condition, final return ret; resolved label cleanup until return; resource parents acquired by ulist_alloc before path, released by free_leaf_list(parents) in out label"
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/btrfs/backref.c,resolve_indirect_refs,714,830,resolve_indirect_refs#005,802,!new_ref,null_check,new_ref,"kmem_cache_alloc(btrfs_prelim_ref_cache,",goto,out,"[""free_pref(ref)"", ""free_leaf_list(parents)""]",ret,"[{""var"": ""parents"", ""acquire_func"": ""ulist_alloc"", ""resource_type"": ""ulist"", ""release_functions"": [""ulist_free"", ""free_leaf_list""], ""acquire_line"": 741, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}]",[],high,"goto out under null_check condition, final return ret; resolved label cleanup until return; resource parents acquired by ulist_alloc before path, released by free_leaf_list(parents) in out label"
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/btrfs/backref.c,add_missing_keys,832,875,add_missing_keys#001,857,IS_ERR(eb),err_ptr_check,eb,"read_tree_block(fs_info, ref->wanted_disk_byte, &check)",return,,"[""free_pref(ref)""]",PTR_ERR(eb),[],[],high,PTR_ERR propagation under err_ptr_check condition
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/btrfs/backref.c,add_inline_refs,995,1126,add_inline_refs#001,1027,ret,ret_nonzero,ret,"check_extent_item(ctx->bytenr, ei, leaf, ctx->user_ctx)",return,,[],ret,[],[],high,return ret under ret_nonzero condition
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/btrfs/backref.c,add_inline_refs,995,1126,add_inline_refs#002,1059,unlikely(type == BTRFS_REF_TYPE_INVALID),unknown_error_like,unlikely,unknown,return,,[],-EUCLEAN,[],[],medium,negative errno return under unknown_error_like condition
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/btrfs/backref.c,add_inline_refs,995,1126,add_inline_refs#003,1120,ret,ret_nonzero,ret,"add_indirect_ref(ctx->fs_info, preftrees,",return,,[],ret,[],[],high,return ret under ret_nonzero condition
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/btrfs/backref.c,add_keyed_refs,1128,1230,add_keyed_refs#001,1224,ret,ret_nonzero,ret,"add_indirect_ref(fs_info, preftrees, root,",return,,[],ret,[],[],high,return ret under ret_nonzero condition
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/btrfs/backref.c,lookup_backref_shared_cache,1232,1300,lookup_backref_shared_cache#001,1247,!ctx->use_path_cache,null_check,ctx->use_path_cache,unknown,return,,[],false,[],[],high,return false under null_check condition
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/btrfs/backref.c,lookup_backref_shared_cache,1232,1300,lookup_backref_shared_cache#003,1264,entry->bytenr != bytenr,state_or_validation_error,entry,&ctx->path_cache_entries[level],return,,[],false,[],[],medium,return false under state_or_validation_error condition
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/btrfs/backref.c,lookup_backref_shared_cache,1232,1300,lookup_backref_shared_cache#004,1271,!entry->is_shared && entry->gen != btrfs_root_last_snapshot(&root->root_item),state_or_validation_error,entry,&ctx->path_cache_entries[level],return,,[],false,[],[],medium,return false under state_or_validation_error condition
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/btrfs/backref.c,lookup_backref_shared_cache,1232,1300,lookup_backref_shared_cache#005,1280,entry->is_shared && entry->gen != btrfs_get_last_root_drop_gen(fs_info),state_or_validation_error,entry,&ctx->path_cache_entries[level],return,,[],false,[],[],medium,return false under state_or_validation_error condition
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/btrfs/backref.c,store_backref_shared_cache,1302,1356,store_backref_shared_cache#001,1318,!ctx->use_path_cache,null_check,ctx->use_path_cache,unknown,return,,[],unknown,[],[],high,return unknown under null_check condition
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/btrfs/backref.c,find_parent_nodes,1358,1682,find_parent_nodes#001,1391,unlikely(!root),unknown_error_like,unlikely,unknown,return,,"[""btrfs_err(ctx->fs_info, \""missing extent root for extent at bytenr %llu\"", ctx->bytenr)""]",-EUCLEAN,[],[],medium,negative errno return under unknown_error_like condition
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/btrfs/backref.c,find_parent_nodes,1358,1682,find_parent_nodes#002,1410,!path,null_check,path,btrfs_alloc_path(),return,,[],-ENOMEM,[],[],high,negative errno return under null_check condition
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/btrfs/backref.c,find_parent_nodes,1358,1682,find_parent_nodes#003,1424,ret < 0,negative_error,ret,"btrfs_search_slot(NULL, root, &key, path, 0, 0)",goto,out,"[""btrfs_free_path(path)"", ""prelim_release(&preftrees.direct)"", ""prelim_release(&preftrees.indirect)"", ""prelim_release(&preftrees.indirect_missing_keys)"", ""free_inode_elem_list(eie)""]",ret,"[{""var"": ""path"", ""acquire_func"": ""btrfs_alloc_path"", ""resource_type"": ""btrfs_path"", ""release_functions"": [""btrfs_free_path""], ""acquire_line"": 1409, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}]",[],high,"goto out under negative_error condition, final return ret; resolved label cleanup until return; resource path acquired by btrfs_alloc_path before path, released by btrfs_free_path(path) in out label"
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/btrfs/backref.c,find_parent_nodes,1358,1682,find_parent_nodes#004,1426,unlikely(ret == 0),unknown_error_like,unlikely,unknown,goto,out,"[""btrfs_free_path(path)"", ""prelim_release(&preftrees.direct)"", ""prelim_release(&preftrees.indirect)"", ""prelim_release(&preftrees.indirect_missing_keys)"", ""free_inode_elem_list(eie)""]",ret,"[{""var"": ""path"", ""acquire_func"": ""btrfs_alloc_path"", ""resource_type"": ""btrfs_path"", ""release_functions"": [""btrfs_free_path""], ""acquire_line"": 1409, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}]",[],medium,"goto out under unknown_error_like condition, final return ret; resolved label cleanup until return; resource path acquired by btrfs_alloc_path before path, released by btrfs_free_path(path) in out label"
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/btrfs/backref.c,find_parent_nodes,1358,1682,find_parent_nodes#005,1448,!mutex_trylock(&head->mutex),unknown_error_like,mutex_trylock,unknown,goto,again,"[""refcount_inc(&head->refs)"", ""spin_unlock(&delayed_refs->lock)"", ""btrfs_release_path(path)"", ""mutex_lock(&head->mutex)"", ""mutex_unlock(&head->mutex)"", ""btrfs_put_delayed_ref_head(head)"", ""btrfs_search_slot(NULL, root, &key, path, 0, 0)"", ""btrfs_free_path(path)"", ""prelim_release(&preftrees.direct)"", ""prelim_release(&preftrees.indirect)"", ""prelim_release(&preftrees.indirect_missing_keys)"", ""free_inode_elem_list(eie)""]",ret,"[{""var"": ""path"", ""acquire_func"": ""btrfs_alloc_path"", ""resource_type"": ""btrfs_path"", ""release_functions"": [""btrfs_free_path""], ""acquire_line"": 1409, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}, {""var"": ""&delayed_refs->lock"", ""acquire_func"": ""spin_lock"", ""resource_type"": ""spinlock"", ""release_functions"": [""spin_unlock""], ""acquire_line"": 1444, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}]",[],medium,"goto again under unknown_error_like condition, final return ret; resolved label cleanup until return; resource path acquired by btrfs_alloc_path before path, released by btrfs_free_path(path) in again label; resource &delayed_refs->lock acquired by spin_lock before path, released by spin_unlock(&delayed_refs->lock) in again label"
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/btrfs/backref.c,find_parent_nodes,1358,1682,find_parent_nodes#006,1467,ret,ret_nonzero,ret,"add_delayed_refs(ctx->fs_info, head, ctx->time_seq,",goto,out,"[""btrfs_free_path(path)"", ""prelim_release(&preftrees.direct)"", ""prelim_release(&preftrees.indirect)"", ""prelim_release(&preftrees.indirect_missing_keys)"", ""free_inode_elem_list(eie)""]",ret,"[{""var"": ""path"", ""acquire_func"": ""btrfs_alloc_path"", ""resource_type"": ""btrfs_path"", ""release_functions"": [""btrfs_free_path""], ""acquire_line"": 1409, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}]",[],high,"goto out under ret_nonzero condition, final return ret; resolved label cleanup until return; resource path acquired by btrfs_alloc_path before path, released by btrfs_free_path(path) in out label"
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/btrfs/backref.c,find_parent_nodes,1358,1682,find_parent_nodes#007,1487,ret,ret_nonzero,ret,"add_inline_refs(ctx, path, &info_level,",goto,out,"[""btrfs_free_path(path)"", ""prelim_release(&preftrees.direct)"", ""prelim_release(&preftrees.indirect)"", ""prelim_release(&preftrees.indirect_missing_keys)"", ""free_inode_elem_list(eie)""]",ret,"[{""var"": ""path"", ""acquire_func"": ""btrfs_alloc_path"", ""resource_type"": ""btrfs_path"", ""release_functions"": [""btrfs_free_path""], ""acquire_line"": 1409, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}]",[],high,"goto out under ret_nonzero condition, final return ret; resolved label cleanup until return; resource path acquired by btrfs_alloc_path before path, released by btrfs_free_path(path) in out label"
8cd9520d35a6c38db6567e97dd93b1f11f185dc6,v7.1,fs/btrfs/backref.c,find_parent_nodes,1358,1682,find_parent_nodes#008,1491,ret,ret_nonzero,ret,"add_keyed_refs(ctx, root, path, info_level,",goto,out,"[""btrfs_free_path(path)"", ""prelim_release(&preftrees.direct)"", ""prelim_release(&preftrees.indirect)"", ""prelim_release(&preftrees.indirect_missing_keys)"", ""free_inode_elem_list(eie)""]",ret,"[{""var"": ""path"", ""acquire_func"": ""btrfs_alloc_path"", ""resource_type"": ""btrfs_path"", ""release_functions"": [""btrfs_free_path""], ""acquire_line"": 1409, ""out_resource_arg"": null, ""release_arg_index"": 0, ""release_arg_requires_address"": false, ""release_suggestion_template"": """", ""scope_cleanup_function"": """", ""scope_cleanup_decl_line"": null}]",[],high,"goto out under ret_nonzero condition, final return ret; resolved label cleanup until return; resource path acquired by btrfs_alloc_path before path, released by btrfs_free_path(path) in out label"
